"","Units","MeterInformation_fk","Permit_Ref","Inspection_Date","Meter_Reading","Fixed_Zeros","Multiplier","NumberOfDials","Prev_insp_date","Prev_meter_read","Volume_Used","Use_Period","PermitList_fk","WR_Number","Latitude","Longitude","BUCode","count_permits","cf","converted_use_rate_AFD"
"791","Acre-Inches","QzDoq68tjqFu","ByOCKC3TVzv7, WBS_xYmLtDVP, bMD9qVyx_dcl",2020-11-17,396367,0,0.01,6,2019-12-19,994730,4016.37,334,"bMD9qVyx_dcl","P84578.0W",41.22517,-104.458,"IRR_GW",3,12,1.00208832335329
"792","Acre-Inches","Qisiyf0PfuvC","eMI4TArHhjwL",2020-10-15,112,0,0.01,6,2019-11-20,112,0,330,"eMI4TArHhjwL","P847.0W",41.03456,-104.12965,"IRR_GW",1,12,0
"793","Acre-Inches","wa0-zOK_S0h-","di1WLBEBGdcW, -5b8dMq3zU43",2021-11-04,4696.54,0,1,NA,2020-11-04,3849,847.54,365,"-5b8dMq3zU43","P114738.0W",41.19732,-104.11028,"IRR_GW",2,12,0.193502283105023
"794","Acre-Inches","VdU7_IA_FXDS","Z1w7tZYIa5jB",2021-11-09,837453,0,0.01,6,2020-11-02,631843,2056.1,372,"Z1w7tZYIa5jB","P15513.0W",41.23866,-104.39882,"IRR_GW",1,12,0.460595878136201
"795","Acre-Inches","W7xp9NEkIqmW","YIBiMlyw8unW",2021-11-04,80531,0,0.01,6,2020-11-04,830895,2496.36,365,"YIBiMlyw8unW","P3.0G",41.274186,-104.1286,"IRR_GW",1,12,0.569945205479452
"796","Acre-Inches","siv3a1S_UgDW","DDj38r7YPSZD",2020-10-15,434818,0,0.01,6,2020-01-29,344630,901.88,260,"DDj38r7YPSZD","P15948.0W",41.04952,-104.18636,"IRR_GW",1,12,0.289064102564103
"797","Acre-Inches","xR7Yu2bIq354","uPAZUfUGWSFi",2020-10-19,299987,0,0.01,6,2019-11-19,230395,695.92,335,"uPAZUfUGWSFi","P255.0C",41.146481,-104.154956,"IRR_GW",1,12,0.173114427860697
"798","Acre-Inches","yvZI2XLMa7Pk","-yamgg2HkVUP",2021-10-21,713164,0,0.01,6,2020-11-04,632457,807.07,351,"-yamgg2HkVUP","P8068.0W",41.077222,-104.173595,"IRR_GW",1,12,0.191612060778727
"799","Acre-Inches","wa0-zOK_S0h-","di1WLBEBGdcW, -5b8dMq3zU43",2020-11-04,3849,0,1,NA,2019-12-11,2732.53,1116.47,329,"di1WLBEBGdcW","P238.0C",41.19732,-104.11028,"IRR_GW",2,12,0.282793819655522
"800","Acre-Inches","QzDoq68tjqFu","ByOCKC3TVzv7, WBS_xYmLtDVP, bMD9qVyx_dcl",2020-11-17,396367,0,0.01,6,2019-12-19,994730,4016.37,334,"WBS_xYmLtDVP","P30174.0W",41.22517,-104.458,"IRR_GW",3,12,1.00208832335329
"801","Acre-Inches","wa0-zOK_S0h-","di1WLBEBGdcW, -5b8dMq3zU43",2021-11-04,4696.54,0,1,NA,2020-11-04,3849,847.54,365,"di1WLBEBGdcW","P238.0C",41.19732,-104.11028,"IRR_GW",2,12,0.193502283105023
